,Season,Player,MP,PTS,AST,TRB,STL,BLK,TS%,PER,WS,BPM,VORP,USG%,W/L%,Share
136,2015,Brandon Bass,23.5,10.6,1.3,4.9,0.5,0.4,0.557,16.3,5.3,0.0,1.0,19.5,0.488,0.0
137,2015,Roy Hibbert,25.3,10.6,1.1,7.1,0.2,1.6,0.501,15.4,4.2,-1.2,0.4,21.3,0.463,0.0
138,2015,Manu Ginóbili,22.7,10.5,4.2,3.0,1.0,0.3,0.544,16.2,3.7,1.7,1.5,23.9,0.671,0.0
139,2015,Marcus Morris,25.2,10.4,1.6,4.8,0.8,0.2,0.52,13.7,4.0,0.1,1.1,19.0,0.476,0.0
140,2015,Marreese Speights,15.9,10.4,0.9,4.3,0.3,0.4,0.546,19.5,4.0,-1.9,0.0,29.1,0.817,0.0
141,2015,Alexey Shved,18.3,10.3,2.5,2.4,0.7,0.1,0.541,19.5,2.2,2.9,0.9,26.3,0.5,0.0
142,2015,Tyson Chandler,30.5,10.3,1.1,11.5,0.6,1.2,0.697,20.1,10.3,2.6,2.7,12.8,0.61,0.0
143,2015,Taj Gibson,27.3,10.3,1.1,6.4,0.6,1.2,0.545,16.1,4.8,-0.4,0.7,17.6,0.61,0.0
144,2015,Kelly Olynyk,22.2,10.3,1.7,4.7,1.0,0.6,0.558,15.9,3.6,0.4,0.8,21.1,0.488,0.0
145,2015,Ricky Rubio,31.5,10.3,8.8,5.7,1.7,0.0,0.452,15.2,0.5,-0.1,0.3,20.0,0.195,0.0
146,2015,Mario Chalmers,29.6,10.2,3.8,2.6,1.5,0.1,0.521,11.7,2.8,-2.5,-0.3,18.9,0.451,0.0
147,2015,Nikola Mirotić,20.2,10.2,1.2,4.9,0.7,0.7,0.556,17.9,5.7,2.3,1.8,22.8,0.61,0.0
148,2015,Tyler Zeller,21.1,10.2,1.4,5.7,0.2,0.6,0.594,18.9,6.5,0.9,1.3,19.6,0.488,0.0
149,2015,Gary Neal,22.1,10.1,1.9,2.4,0.4,0.0,0.483,11.1,0.6,-3.4,-0.5,23.8,0.5,0.0
150,2015,Harrison Barnes,28.3,10.1,1.4,5.5,0.7,0.2,0.573,13.4,6.7,0.1,1.2,14.9,0.817,0.0
151,2015,Matt Barnes,29.9,10.1,1.5,4.0,0.9,0.7,0.574,11.3,4.3,-0.3,1.0,14.9,0.683,0.0
152,2015,Patrick Beverley,30.8,10.1,3.4,4.2,1.1,0.4,0.509,11.3,3.5,0.1,0.9,16.1,0.683,0.0
153,2015,Zach LaVine,24.7,10.1,3.6,2.8,0.7,0.1,0.515,11.3,-0.7,-4.6,-1.3,22.0,0.195,0.0
154,2015,Courtney Lee,30.6,10.1,2.0,2.3,1.0,0.2,0.555,11.5,4.8,-0.5,0.9,15.2,0.671,0.0
155,2015,Wayne Ellington,25.8,10.0,1.6,3.2,0.5,0.0,0.504,11.6,1.2,-2.3,-0.1,18.5,0.256,0.0
156,2015,Dennis Schröder,19.7,10.0,4.1,2.1,0.6,0.1,0.516,15.7,2.5,-1.3,0.2,27.0,0.732,0.0
157,2015,C.J. Watson,24.9,10.0,3.6,2.9,1.0,0.2,0.581,15.4,4.0,1.3,1.2,18.8,0.463,0.0
158,2015,Wesley Johnson,29.5,9.9,1.6,4.2,0.8,0.6,0.509,11.1,1.7,-1.9,0.1,16.4,0.256,0.0
159,2015,Luc Mbah a Moute,28.6,9.9,1.6,4.9,1.2,0.3,0.466,10.6,1.1,-2.8,-0.4,18.3,0.22,0.0
160,2015,Nerlens Noel,30.8,9.9,1.7,8.1,1.8,1.9,0.493,15.0,4.0,-0.3,1.0,17.0,0.22,0.0
161,2015,Terrence Ross,25.5,9.8,1.0,2.8,0.6,0.3,0.519,11.2,2.4,-1.4,0.3,18.3,0.598,0.0
